x_m,y_m
5.850000000000042277e+00,2.300000000000020361e-01
5.950000000000042810e+00,2.300000000000020361e-01
6.100000000000044054e+00,2.300000000000020361e-01
6.200000000000045475e+00,2.300000000000020361e-01
6.350000000000045830e+00,2.300000000000020361e-01
6.450000000000047251e+00,2.300000000000020361e-01
6.550000000000047784e+00,2.300000000000020361e-01
6.650000000000048317e+00,2.300000000000020361e-01
6.800000000000048672e+00,2.300000000000020361e-01
6.900000000000050093e+00,2.300000000000020361e-01
7.000000000000050626e+00,2.300000000000020361e-01
7.100000000000051159e+00,2.300000000000020361e-01
7.200000000000052580e+00,2.300000000000020361e-01
7.350000000000052935e+00,2.300000000000020361e-01
7.500000000000053291e+00,2.300000000000020361e-01
7.600000000000054712e+00,2.300000000000020361e-01
7.700000000000056133e+00,2.300000000000020361e-01
7.850000000000055600e+00,2.300000000000020361e-01
7.950000000000057021e+00,2.300000000000020361e-01
8.050000000000057554e+00,2.300000000000020361e-01
8.153529411764763424e+00,2.223529411764725849e-01
8.259864253393725875e+00,2.218552036199114563e-01
8.387013574660693749e+00,2.642081447963822716e-01
8.450904977375625293e+00,3.718552036199122557e-01
8.459864253393725164e+00,4.723529411764740837e-01
8.453529411764765911e+00,5.800000000000041789e-01
8.450000000000059686e+00,6.800000000000050449e-01
8.450000000000059686e+00,7.800000000000055778e-01
8.450000000000059686e+00,8.800000000000063327e-01
8.450000000000059686e+00,9.800000000000068656e-01
8.450000000000059686e+00,1.080000000000007621e+00
8.450000000000059686e+00,1.180000000000008376e+00
8.450000000000059686e+00,1.280000000000008908e+00
8.445882352941236348e+00,1.380000000000009663e+00
8.451719457013634695e+00,1.480000000000010418e+00
8.468009049773815633e+00,1.580000000000010951e+00
8.477058823529473486e+00,1.680000000000011706e+00
8.478868778280604701e+00,1.780000000000012461e+00
8.473438914027211055e+00,1.880000000000012994e+00
8.460769230769290772e+00,1.980000000000013971e+00
8.447782805429923769e+00,2.080000000000014282e+00
8.446470588235353461e+00,2.180000000000015259e+00
8.450000000000059686e+00,2.280000000000015792e+00
8.450000000000059686e+00,2.380000000000016325e+00
8.450000000000059686e+00,2.480000000000017302e+00
8.450000000000059686e+00,2.580000000000017835e+00
8.450000000000059686e+00,2.680000000000018812e+00
8.450000000000059686e+00,2.780000000000018900e+00
8.450000000000059686e+00,2.880000000000019877e+00
8.450000000000059686e+00,2.980000000000020410e+00
8.450000000000059686e+00,3.080000000000021387e+00
8.450000000000059686e+00,3.180000000000021920e+00
8.450000000000059686e+00,3.280000000000022453e+00
8.450000000000059686e+00,3.380000000000023430e+00
8.450000000000059686e+00,3.480000000000024407e+00
8.450000000000059686e+00,3.580000000000024496e+00
8.450000000000059686e+00,3.680000000000025473e+00
8.450000000000059686e+00,3.780000000000026450e+00
8.450000000000059686e+00,3.880000000000027427e+00
8.450000000000059686e+00,3.980000000000027516e+00
8.450000000000059686e+00,4.080000000000028493e+00
8.450000000000059686e+00,4.180000000000029026e+00
8.450000000000059686e+00,4.280000000000029559e+00
8.450000000000059686e+00,4.380000000000030091e+00
8.450000000000059686e+00,4.480000000000030624e+00
8.450000000000059686e+00,4.580000000000032045e+00
8.450000000000059686e+00,4.680000000000032578e+00
8.450000000000059686e+00,4.780000000000033111e+00
8.450000000000059686e+00,4.880000000000033644e+00
8.450000000000059686e+00,4.980000000000035065e+00
8.450000000000059686e+00,5.080000000000035598e+00
8.450000000000059686e+00,5.180000000000036131e+00
8.450000000000059686e+00,5.280000000000036664e+00
8.450000000000059686e+00,5.380000000000037197e+00
8.450000000000059686e+00,5.480000000000037730e+00
8.450000000000059686e+00,5.580000000000038263e+00
8.450000000000059686e+00,5.730000000000039506e+00
8.450000000000059686e+00,5.830000000000040039e+00
8.450000000000059686e+00,5.930000000000040572e+00
8.450000000000059686e+00,6.030000000000041993e+00
8.450000000000059686e+00,6.130000000000042526e+00
8.450000000000059686e+00,6.280000000000042881e+00
8.450000000000059686e+00,6.380000000000044302e+00
8.450000000000059686e+00,6.480000000000044835e+00
8.450000000000059686e+00,6.580000000000045368e+00
8.449411764705942574e+00,6.680000000000046789e+00
8.449819004524947275e+00,6.780000000000047322e+00
8.458371040724042444e+00,6.880000000000047855e+00
8.471447963800965653e+00,6.980000000000048388e+00
8.485429864253456245e+00,7.080000000000049809e+00
8.496696832579246461e+00,7.180000000000049454e+00
8.501628959276079200e+00,7.280000000000050875e+00
8.503529411764766621e+00,7.380000000000050520e+00
8.500000000000062172e+00,7.480000000000051941e+00
8.500000000000062172e+00,7.580000000000053362e+00
8.500000000000062172e+00,7.730000000000053717e+00
8.500000000000062172e+00,7.830000000000054250e+00
8.500000000000062172e+00,7.930000000000054783e+00
8.500000000000062172e+00,8.080000000000055138e+00
8.500000000000062172e+00,8.180000000000056559e+00
8.500000000000062172e+00,8.280000000000057980e+00
8.500000000000062172e+00,8.430000000000056559e+00
8.500000000000062172e+00,8.530000000000057980e+00
8.507647058823591735e+00,8.630000000000059401e+00
8.508144796380152641e+00,8.737647058823588608e+00
8.465791855203681493e+00,8.880904977375626785e+00
8.358144796380150510e+00,8.967013574660695596e+00
8.257647058823589958e+00,8.988144796380153068e+00
8.150000000000057199e+00,8.987647058823592161e+00
8.050000000000057554e+00,8.980000000000062599e+00
7.900000000000057199e+00,8.980000000000062599e+00
7.750000000000056843e+00,8.980000000000062599e+00
7.650000000000055422e+00,8.980000000000062599e+00
7.550000000000054889e+00,8.980000000000062599e+00
7.450000000000054357e+00,8.980000000000062599e+00
7.350000000000052935e+00,8.980000000000062599e+00
7.200000000000052580e+00,8.980000000000062599e+00
7.100000000000051159e+00,8.980000000000062599e+00
